"","France","Hm15","Hm20","H20_59","H60p","H75p","H15_49","Fm15","Fm20","F20_59","F60p","F75p","F15_49","Em15","Em20","E20_59","E60p","E75p","E15_49"
"1",57565008,5827481,7765056,15461422,4772965,1196855,14603156,5559279,7414719,15478714,6672132,2347324,14487025,11386760,15179775,30940136,11445097,3544179,29090181
"2",57752535,5797225,7714652,15515692,4847712,1196325,14634032,5532418,7369709,15553029,6751741,2339194,14548434,11329643,15084361,31068721,11599453,3535519,29182466
"3",57935959,5753770,7700740,15549034,4905677,1270265,14680380,5492862,7357487,15611518,6811503,2432427,14625458,11246632,15058227,31160552,11717180,3702692,29305838
"4",58116018,5714442,7700939,15573867,4960941,1336837,14633278,5453475,7354803,15658485,6866983,2519611,14602929,11167917,15055742,31232352,11827924,3856448,29236207
"5",58298962,5677156,7685889,15618158,5012134,1396294,14564477,5417888,7341033,15724437,6917311,2596812,14560131,11095044,15026922,31342595,11929445,3993106,29124608
"6",58496613,5670252,7682497,15663652,5059996,1451677,14473844,5409778,7335411,15792118,6962939,2669619,14493094,11080030,15017908,31455770,12022935,4121296,28966938
"7",58858198,5690404,7695796,15754409,5116719,1502894,14415565,5423451,7351491,15912877,7026906,2741883,14467585,11113855,15047287,31667286,12143625,4244777,28883150
"8",59266572,5717861,7706472,15883622,5160925,1558710,14368874,5445453,7361385,16078443,7075725,2821419,14448315,11163314,15067857,31962065,12236650,4380129,28817189
"9",59685899,5731275,7717913,16028451,5194079,1615094,14360700,5457609,7373461,16259575,7112420,2902377,14458828,11188884,15091374,32288026,12306499,4517471,28819528
"10",60101841,5741079,7731264,16146421,5251788,1669235,14354126,5466500,7385310,16414471,7172587,2978569,14464283,11207579,15116574,32560892,12424375,4647804,28818409
"11",60505421,5743711,7766148,16228093,5320258,1720293,14367812,5472036,7417346,16532377,7241199,3049722,14482854,11215747,15183494,32760470,12561457,4770015,28850666
"12",60963264,5752594,7796359,16317284,5405733,1780970,14376708,5480343,7446044,16653933,7343911,3143680,14500441,11232937,15242403,32971217,12749644,4924650,28877149
"13",61399733,5763808,7814800,16412234,5487377,1844538,14386668,5494939,7465601,16781404,7438317,3241456,14511425,11258747,15280401,33193638,12925694,5085994,28898093
"14",61795238,5797150,7838862,16422379,5656337,1902830,14384274,5523638,7476232,16797604,7603824,3323482,14490399,11320788,15315094,33219983,13260161,5226312,28874673
"15",62134866,5822253,7850203,16393318,5841226,1960940,14355441,5547619,7487372,16777461,7785286,3400540,14455332,11369872,15337575,33170779,13626512,5361480,28810773
"16",62465709,5867279,7864098,16357834,6025502,2009609,14310693,5594391,7504742,16749232,7964301,3459967,14404487,11461670,15368840,33107066,13989803,5469576,28715180
"17",62765235,5907101,7882609,16316169,6199172,2060405,14257412,5636910,7523983,16707443,8135859,3515694,14344168,11544011,15406592,33023612,14335031,5576099,28601580
"18",63070344,5941265,7901666,16276697,6375265,2103544,14212092,5667839,7538742,16663204,8314770,3564568,14292459,11609104,15440408,32939901,14690035,5668112,28504551
"19",63375971,5973817,7908343,16257482,6533345,2147128,14154661,5703245,7549313,16653128,8474360,3604524,14239197,11677062,15457656,32910610,15007705,5751652,28393858
"20",63697865,6011490,7939908,16233475,6692626,2184599,14113826,5733279,7573188,16619772,8638896,3634407,14196012,11744769,15513096,32853247,15331522,5819006,28309838
"21",64027958,6027041,7977349,16199977,6847598,2224035,14067338,5751435,7611359,16591564,8800111,3668963,14154262,11778476,15588708,32791541,15647709,5892998,28221600
"22",64300821,6032124,8006756,16135172,7005458,2266880,14003304,5764996,7645022,16545460,8962953,3700912,14103811,11797120,15651778,32680632,15968411,5967792,28107115
"23",64468792,6002321,8004668,16067115,7144419,2287425,13940273,5735804,7640858,16495142,9116590,3707391,14059253,11738125,15645526,32562257,16261009,5994816,27999526
"24",64618416,5960477,7980388,16014537,7286128,2300232,13884457,5698860,7617486,16453654,9266223,3698011,14015616,11659337,15597874,32468191,16552351,5998243,27900073
"25",64725052,5915257,7947080,15955199,7423900,2330755,13828204,5658324,7588802,16401744,9408327,3704989,13972328,11573581,15535882,32356943,16832227,6035744,27800532
"26",64812052,5867293,7901395,15902957,7557087,2372742,13769373,5612164,7543914,16358853,9547846,3727970,13926211,11479457,15445309,32261810,17104933,6100712,27695584
