"","YEAR","Nombre.de.logements.autorises.individuels.purs","Nombre.de.logements.autorises.individuels.groupes","Nombre.de.logements.autorises.collectifs","Nombre.de.logements.autorises.en.residence","Total.nombre.de.logements","Surface.en.m2.de.logements.autorises.individuels.purs","Surface.en.m2.de.logements.autorises.individuels.groupes","Surface.en.m2.de.logements.autorises.collectifs","Surface.en.m2.de.logements.autorises.en.residence","Total.surface.en.m2","PIB","ImportBS","DepCF","DepCF_Men","DepCF_Pub","FBCF","FBCF_EntInd","FBCF_AdmPub","FBCF_Men","ExportBS","DemandeHS"
"1",1994,119634,35348,156188,4312,315482,16497798,3235946,9872826,174574,29781144,1545.8,266.7,1220,801.3,394.2,325.9,161.5,72.1,87.3,276,1548.9
"2",1995,110178,28152,133992,3389,275711,15217818,2609985,8760224,151072,26739099,1578.4,286.7,1234.8,814,394.2,330.2,165.3,69.5,88.8,300.4,1568.1
"3",1996,128045,29847,116547,3742,278181,17438013,2713486,7503719,163158,27818376,1600.7,293.7,1260.4,829.2,403.4,332.7,166,69.9,89.2,313.3,1596.3
"4",1997,131762,32332,119901,4158,288153,17933841,3031081,7999859,153479,29118260,1638,317.2,1269,833.8,407.5,335.3,168.2,66.1,92.5,354.1,1607.6
"5",1998,158060,44507,177639,10584,390790,21221284,4348927,12357728,411323,38339262,1696.8,354.9,1301.7,866.8,404.8,356.8,182,66.7,97,385.3,1661.6
"6",1999,172416,32404,93458,7119,305397,23024827,3193172,6833366,362117,33413482,1754.9,379.6,1339.5,896.8,411.1,384.8,197.5,70,104.5,405,1726.8
"7",2000,171080,35987,118431,11339,336837,23343430,3708426,8856352,566425,36474633,1823.7,437.9,1381.2,929.3,418.5,410.3,210.2,76.7,108.4,457.2,1793.6
"8",2001,164858,36500,113906,11783,327047,22635364,3761740,8558897,580541,35536542,1859.9,448.3,1410,952.2,422.9,419.7,218.3,76.8,109.3,471.2,1831.5
"9",2002,166197,38131,117238,10367,331933,22936653,3957125,8777486,520626,36191890,1881,457,1438.2,969.8,430.5,415.8,212.6,77,112.3,480.7,1856
"10",2003,174188,42967,138528,14436,370119,24073015,4412343,10161245,674570,39321173,1896.5,461.1,1461.4,985.9,438.8,423.8,212.9,80.4,115.2,476,1886.9
"11",2004,187349,53588,191025,20609,452571,25881918,5426289,13791985,956160,46056352,1950.2,489.7,1491,1006.3,448.3,438.6,219.6,83.2,119.8,501.6,1931
"12",2005,195883,58820,215808,22485,492996,27118874,6031150,15448520,1122271,49720815,1982.6,520.7,1521.9,1031.3,454,451.3,226.2,85,125.1,521.5,1974.6
"13",2006,197178,63278,239053,27083,526592,27438626,6415085,17266903,1323116,52443730,2031.2,549.8,1550.8,1053.5,460.1,467.7,235,83.9,131.4,552.8,2019.6
"14",2007,188968,57087,207479,26363,479897,26249439,5939331,15021271,1467500,48677541,2080.4,581.5,1588,1080.7,468.5,493.6,256,85.7,134.8,568.2,2082.3
"15",2008,150619,51455,161820,21070,384964,20528862,5118558,11595918,1120389,38363727,2085.7,589,1599.1,1086.6,473.8,497.8,265.3,84.1,129.3,570.7,2097.5
"16",2009,121373,49498,134700,22926,328497,16054822,4762285,9730447,1202414,31749968,2025.8,533.9,1613.9,1088.5,485.2,452.7,234,87.9,113.2,508.5,2067.3
"17",2010,152918,56892,180956,29067,419833,20155027,5407801,12554042,1411442,39528312,2065.3,581.4,1641.3,1107.8,491.4,462.1,243.6,87,114.8,552.7,2104.2
"18",2011,151053,58967,218558,26516,455094,20187422,5671157,15226617,1317124,42402320,2110.6,615.3,1653.6,1114.3,496.6,471.6,253.1,83.2,116,587.9,2125.9
"19",2012,134585,52047,199171,30637,416440,17266936,4889438,13742919,1526773,37426066,2117.2,616.5,1656.7,1109.1,504.5,472.7,252.6,84.7,113.6,604.6,2130.1
"20",2013,114751,46429,175791,22358,359329,14196169,4223567,11626437,1043741,31089914,2129.4,631.5,1670,1114.6,512,468.9,253,84.1,113,617.6,2139.6
"21",2014,99901,36249,162297,29106,327553,12294470,3284518,10514612,1225285,27318885,2149.8,662.4,1686.2,1122.9,518.7,469.1,257.4,79.6,109.7,637.8,2156.2
"22",2015,106225,40236,187478,29597,363536,12990107,3575482,11936738,1260632,29762959,2173.7,701.5,1708.7,1139.3,523.9,473.9,265.8,75.9,108,667.4,2183.2
"23",2016,120524,44494,228549,32105,425672,14571937,3970513,14404924,1486941,34434315,2197.5,722,1737.1,1159.7,531.2,486.5,273.6,76,111.1,679.2,2224.2
"24",2017,133659,44131,243666,35076,456532,16104034,3958968,15377435,1668872,37109309,2247.2,750.5,1761.7,1175.8,539,509.6,286.4,76.2,118.4,705.4,2271.8
"25",2018,117160,44683,227245,31096,420184,14219207,4059686,14681600,1478809,34439302,2285.9,759.6,1777,1186.2,543.3,523.8,297.4,78,120.7,729.9,2301.4
