LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;Year;Value;Flag Codes
FRA;LTINT;TOT;PC_PA;A;1960;5.663333;
FRA;LTINT;TOT;PC_PA;A;1961;5.519166;
FRA;LTINT;TOT;PC_PA;A;1962;5.434166;
FRA;LTINT;TOT;PC_PA;A;1963;5.338333;
FRA;LTINT;TOT;PC_PA;A;1964;5.449167;
FRA;LTINT;TOT;PC_PA;A;1965;6.2025;
FRA;LTINT;TOT;PC_PA;A;1966;6.579167;
FRA;LTINT;TOT;PC_PA;A;1967;6.706666;
FRA;LTINT;TOT;PC_PA;A;1968;6.950833;B
FRA;LTINT;TOT;PC_PA;A;1969;8.1775;
FRA;LTINT;TOT;PC_PA;A;1970;8.550834;
FRA;LTINT;TOT;PC_PA;A;1971;8.421667;
FRA;LTINT;TOT;PC_PA;A;1972;8.013333;
FRA;LTINT;TOT;PC_PA;A;1973;8.998333;
FRA;LTINT;TOT;PC_PA;A;1974;11.0025;
FRA;LTINT;TOT;PC_PA;A;1975;10.31167;
FRA;LTINT;TOT;PC_PA;A;1976;10.51;
FRA;LTINT;TOT;PC_PA;A;1977;10.99167;
FRA;LTINT;TOT;PC_PA;A;1978;10.61167;
FRA;LTINT;TOT;PC_PA;A;1979;10.8475;
FRA;LTINT;TOT;PC_PA;A;1980;13.78417;
FRA;LTINT;TOT;PC_PA;A;1981;16.29167;
FRA;LTINT;TOT;PC_PA;A;1982;15.9975;
FRA;LTINT;TOT;PC_PA;A;1983;14.36833;
FRA;LTINT;TOT;PC_PA;A;1984;13.40417;
FRA;LTINT;TOT;PC_PA;A;1985;11.86667;
FRA;LTINT;TOT;PC_PA;A;1986;9.119166;B
FRA;LTINT;TOT;PC_PA;A;1987;9.478625;
FRA;LTINT;TOT;PC_PA;A;1988;9.084046;
FRA;LTINT;TOT;PC_PA;A;1989;8.796062;
FRA;LTINT;TOT;PC_PA;A;1990;9.932111;
FRA;LTINT;TOT;PC_PA;A;1991;9.038341;
FRA;LTINT;TOT;PC_PA;A;1992;8.587873;
FRA;LTINT;TOT;PC_PA;A;1993;6.774994;
FRA;LTINT;TOT;PC_PA;A;1994;7.213776;
FRA;LTINT;TOT;PC_PA;A;1995;7.534972;
FRA;LTINT;TOT;PC_PA;A;1996;6.312129;
FRA;LTINT;TOT;PC_PA;A;1997;5.58251;
FRA;LTINT;TOT;PC_PA;A;1998;4.640211;
FRA;LTINT;TOT;PC_PA;A;1999;4.608787;
FRA;LTINT;TOT;PC_PA;A;2000;5.39447;
FRA;LTINT;TOT;PC_PA;A;2001;4.93946;
FRA;LTINT;TOT;PC_PA;A;2002;4.861222;
FRA;LTINT;TOT;PC_PA;A;2003;4.130888;
FRA;LTINT;TOT;PC_PA;A;2004;4.099166;
FRA;LTINT;TOT;PC_PA;A;2005;3.409432;
FRA;LTINT;TOT;PC_PA;A;2006;3.795732;
FRA;LTINT;TOT;PC_PA;A;2007;4.3032;
FRA;LTINT;TOT;PC_PA;A;2008;4.234313;
FRA;LTINT;TOT;PC_PA;A;2009;3.648808;
FRA;LTINT;TOT;PC_PA;A;2010;3.117007;
FRA;LTINT;TOT;PC_PA;A;2011;3.321058;
FRA;LTINT;TOT;PC_PA;A;2012;2.535994;
FRA;LTINT;TOT;PC_PA;A;2013;2.20434;
FRA;LTINT;TOT;PC_PA;A;2014;1.666439;
FRA;LTINT;TOT;PC_PA;A;2015;0.8418727;
FRA;LTINT;TOT;PC_PA;A;2016;0.4678807;
FRA;LTINT;TOT;PC_PA;A;2017;0.8105078;
